'98 Koshien;PS;NULL;0,41;NULL
.hack//G.U. Vol.1//Rebirth;PS2;NULL;0,17;NULL
.hack//G.U. Vol.2//Reminisce;PS2;NULL;0,23;NULL
.hack//G.U. Vol.2//Reminisce (jp sales);PS2;NULL;0,16;NULL
.hack//G.U. Vol.3//Redemption;PS2;NULL;0,17;NULL
.hack//Infection Part 1;PS2;NULL;1,27;75
.hack//Link;PSP;NULL;0,14;NULL
.hack//Mutation Part 2;PS2;NULL;0,68;76
.hack//Outbreak Part 3;PS2;NULL;0,46;70
.hack//Quarantine Part 4: The Final Chapter;PS2;NULL;0,18;NULL
.hack: Sekai no Mukou ni + Versus;PS3;NULL;0,03;NULL
[Prototype 2];PC;NULL;0,1;NULL
[Prototype 2];PS3;NULL;0,75;NULL
[Prototype 2];X360;NULL;0,8;NULL
[Prototype];PS3;NULL;1,24;NULL
[Prototype];X360;NULL;1,31;NULL
¡Shin Chan Flipa en colores!;DS;NULL;0,14;NULL
007 Racing;PS;NULL;0,53;51
007: Quantum of Solace;DS;NULL;0,14;65
007: Quantum of Solace;PC;NULL;0,03;70
007: Quantum of Solace;PS2;NULL;0,43;NULL
007: Quantum of Solace;PS3;NULL;1,16;65
007: Quantum of Solace;Wii;NULL;0,67;54
007: Quantum of Solace;X360;NULL;1,49;65
007: The World is not Enough;N64;NULL;1,55;81
007: The World is not Enough;PS;NULL;0,92;61
007: Tomorrow Never Dies;PS;NULL;3,21;NULL
1 vs. 100;DS;NULL;0,09;38
1/2 Summer +;PSP;NULL;0,01;NULL
10 Minute Solution;Wii;NULL;0,08;NULL
100 All-Time Favorites;DS;NULL;0,51;NULL
100 Classic Books;DS;NULL;0,67;70
100 Classic Games;DS;NULL;0,04;NULL
1000 Cooking Recipes from ELLE à table;DS;NULL;0,03;NULL
1001 Touch Games;DS;NULL;0,33;NULL
101-in-1 Explosive Megamix;DS;NULL;0,2;46
101-in-1 Party Megamix Wii;Wii;NULL;0,23;NULL
101-in-1 Sports Megamix;DS;NULL;0,08;NULL
101-in-1 Sports Party Megamix;Wii;NULL;0,03;41
1080°: TenEighty Snowboarding;N64;NULL;2,03;NULL
11eyes: CrossOver;PSP;NULL;0,02;NULL
11eyes: CrossOver;X360;NULL;0,02;NULL
12-Sai. Honto no Kimochi;3DS;NULL;0,07;NULL
12-Sai. Koisuru Diary;3DS;NULL;0,04;NULL
12Riven: The Psi-Climinal of Integral;PS2;NULL;0,04;NULL
15 Days;PC;Adventure / Casual / Indie;0,01;63
1701 A.D.;PC;NULL;0,3;79
18 Wheeler: American Pro Trucker;GC;NULL;0,11;52
18 Wheeler: American Pro Trucker;PS2;NULL;0,4;61
18 Wheels of Steel: Extreme Trucker;PC;NULL;0,02;NULL
18 Wheels of Steel: Extreme Trucker 2;PC;Simulation;0,11;NULL
187: Ride or Die;PS2;NULL;0,15;NULL
187: Ride or Die;XB;NULL;0,06;NULL
1942;NES;NULL;1;NULL
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race;GBA;NULL;0,12;NULL
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures;GBA;NULL;1,76;NULL
2 Games in 1: Disney Princess & The Lion King;GBA;NULL;1,75;NULL
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2;GBA;NULL;0,31;NULL
2 Games in 1: Sonic Advance & ChuChu Rocket!;GBA;NULL;1,83;NULL
2 Games in 1: Sonic Battle & ChuChu Rocket!;GBA;NULL;0,61;NULL
2 Games in 1: Sonic Pinball Party & Columns Crown;GBA;NULL;0,06;NULL
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild;GBA;NULL;0,45;NULL
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe;X360;NULL;0,12;NULL
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe;XB;NULL;0,53;NULL
2-in-1 Game Pack: Spider-Man & Spider-Man 2;GBA;NULL;0,09;NULL
2002 FIFA World Cup;GC;NULL;0,05;78
2002 FIFA World Cup;PS2;NULL;0,59;73
2002 FIFA World Cup;XB;NULL;0,19;NULL
2010 FIFA World Cup South Africa;PS3;NULL;1,23;82
2010 FIFA World Cup South Africa;PSP;NULL;0,48;69
2010 FIFA World Cup South Africa;Wii;NULL;0,43;70
2010 FIFA World Cup South Africa;X360;NULL;0,86;83
2014 FIFA World Cup Brazil;PS3;NULL;0,71;73
2014 FIFA World Cup Brazil;X360;NULL;0,47;74
24: The Game;PS2;NULL;0,3;62
25 to Life;PS2;NULL;0,42;39
25 to Life;XB;NULL;0,17;NULL
